"","Sample","Prep_library","N_primer","S_primer","Library","Stage","Individual","Sample.1","Type","Sorting_date","Plate","ERCC","Library_date","Seq_type","Bases","Reads","groups"
"P2272_1004","P2272_1004","S48","N703","S504","L234","P2","m1","single","cell","2/5/2015","1-1/G1",1410014,"5/20/2015","pair-end","125bp","150M","adult"
"P2272_1006","P2272_1006","S50","N701","S502","L239","P2","m1","single","cell","2/5/2015","1-1/D2",1410014,"5/20/2015","pair-end","125bp","150M","adult"
"P2272_1009","P2272_1009","S53","N702","S517","L246","P2","m1","single","cell","2/5/2015","1-1/C3",1410014,"5/20/2015","pair-end","125bp","150M","adult"
"P2272_1010","P2272_1010","S54","N702","S502","L253","P21","m1","single","cell","1/15/2015","2-1/B1",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1012","P2272_1012","S56","N702","S504","L257","P21","m1","single","cell","1/15/2015","2-1/F1",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1013","P2272_1013","S57","N704","S517","L259","P21","m1","single","cell","1/15/2015","2-1/H1",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1014","P2272_1014","S58","N704","S502","L265","P21","m1","single","cell","1/15/2015","2-1/F2",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1015","P2272_1015","S59","N704","S503","L267","P21","m1","single","cell","1/15/2015","2-1/H2",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1016","P2272_1016","S60","N704","S504","L269","P21","m1","single","cell","1/15/2015","2-1/B3",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1017","P2272_1017","S61","N705","S517","L270","P21","m1","single","cell","1/15/2015","2-1/C3",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1018","P2272_1018","S62","N705","S502","L274","P21","m1","single","cell","1/15/2015","2-1/G3",1310010,"5/29/2015","pair-end","125bp","150M","adult"
"P2272_1020","P2272_1020","S64","N705","S504","L279","E19.5","m1","single","cell","5/12/2015","1-1/D1",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1021","P2272_1021","S65","N706","S517","L281","E19.5","m1","single","cell","5/12/2015","1-1/F1",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1022","P2272_1022","S66","N706","S502","L282","E19.5","m1","single","cell","5/12/2015","1-1/G1",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1023","P2272_1023","S67","N706","S503","L284","E19.5","m1","single","cell","5/12/2015","1-1/A2",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1024","P2272_1024","S68","N706","S504","L285","E19.5","m1","single","cell","5/12/2015","1-1/B2",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1025","P2272_1025","S69","N701","S517","L289","E19.5","m1","single","cell","5/12/2015","1-1/F2",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1027","P2272_1027","S71","N701","S503","L294","E19.5","m1","single","cell","5/12/2015","1-1/C3",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1029","P2272_1029","S73","N702","S517","L298","E19.5","m1","single","cell","5/12/2015","1-1/G3",1410014,"6/1/2015","pair-end","125bp","150M","adult"
"P2272_1031","P2272_1031","S75","N702","S503","L305","P2","m2","single","cell","5/12/2015","1-1/F1",1410014,"6/4/2015","pair-end","125bp","150M","adult"
"P2272_1035","P2272_1035","S79","N703","S503","L317","P2","m2","single","cell","5/12/2015","1-1/B3",1410014,"6/4/2015","pair-end","125bp","150M","adult"
